timestep,xmain,pmain,xhigh,phigh,xlow,plow
0.64,100446.4994583831,-349491.9760193248,-181885.8133214254,-45785.12178100479,55246.69814561963,112950.98495861028
0.648,81008.18043316665,-354126.8323723086,-184772.8846999435,-31974.183290935078,58273.078433847535,111464.50554396596
0.656,61150.0086543821,-358129.9088028545,-186575.58462082222,-17891.03056180417,61219.24307814629,109981.29475414341
0.664,41331.19483328617,-360587.30515272997,-187523.8913619429,-3880.1050849949306,64191.11785058529,108375.69651679338
0.672,21448.382813396838,-362539.0205190177,-187280.70883791285,10236.711824174366,66878.74304814056,106668.65304413489
0.68,1069.3381607142974,-363436.7396592474,-186061.7102583776,24232.803587463182,69258.43705211705,104975.00366501228
0.688,-18919.072555517087,-362969.287144173,-183645.8738786922,38406.25609293156,71994.0834038869,103303.38501970723
0.696,-38875.34688035353,-360941.0069094819,-180121.4744044913,52103.09036646534,74495.86878801539,101370.53267541995
0.704,-59025.7254626445,-358494.45182218443,-175760.4109318446,65857.47483643505,77309.97927653542,99375.76766869881
0.712,-78785.1168296853,-354864.995428695,-170172.8696768476,78916.82019078833,79817.5149205477,97452.20043773767
0.72,-98390.1741560027,-349697.9817476963,-163569.4712409264,91282.72424759866,82484.22087626532,95515.98491490862
0.728,-117447.75950033171,-343641.8858546692,-156259.0689508302,103266.10976643766,84786.2033175012,93457.85038044715
0.736,-136357.79892955525,-336368.7497436019,-148122.68730060424,114752.45005147724,87126.78885312697,91323.32789775463
0.744,-154674.05356981346,-328224.4091278955,-138958.42918066183,125562.71888863662,89208.83090150752,89047.26556781906
0.752,-172616.59541791712,-319098.8187184624,-129306.45049894873,135519.38086283984,91462.81481235696,86783.73368180534
0.76,-189950.33778323524,-308960.19959667174,-118811.83908048083,144834.1969729052,93391.15405052797,84432.3537767742
0.768,-206684.97185599923,-297631.3896388504,-107562.9597094024,153390.65330207872,95479.08822006972,82082.2810875925
0.776,-222815.0796895629,-285649.9371344191,-95677.9014915461,160979.38900231177,97559.32818670284,79688.95569582847
0.784,-238210.30692428641,-272815.6095453238,-83294.72625218202,167691.34669774864,99679.7022336378,77188.61386862044
0.792,-252937.199134855,-259437.4997345296,-70575.44180009015,173362.85222572234,101512.84570461491,74668.77958467706
