timestep,xmain,pmain,xhigh,phigh,xlow,plow
12.048,-479220.4346255243,-3028.1616284677702,82306.80963228067,-45551.38671560256,567297.5321087029,517859.6335159087
12.056,-478639.2957457703,24088.683606244547,78653.06061640117,-51055.42052671295,580111.9912609765,504066.4625949758
12.064,-476560.90201738727,51063.74517469708,74592.09705950663,-56262.33432570504,592595.8327195052,489892.06822725106
12.072,-472998.06585310376,77804.64546665235,70161.90598245207,-61224.9270923443,604694.3417553635,475322.0088980869
12.08,-467962.9061169846,104219.61550260172,65360.840242061175,-65951.4107050885,616467.1434739672,460365.15501219983
12.088,-461480.54686264944,130217.39807731974,60208.37314716542,-70364.49860357425,627854.604525583,445022.62909768283
12.096,-453573.7622151304,155711.8653398309,54743.630365211975,-74504.37019488502,638817.8371190551,429297.84786377224
12.104,-444273.32423296524,180614.29218011905,48976.13538757998,-78328.3670939918,649406.1529550366,413174.16306257277
12.112,-433614.50940801186,204841.62675483953,42925.37054146234,-81859.17208305512,659577.1263799998,396684.25175658934
12.12,-421635.2143028816,228311.76713544969,36634.97188855178,-85031.96466554039,669325.8191840046,379810.96826400055
12.128,-408380.7062204227,250945.84131979817,30116.919384035886,-87833.22838868616,678644.0244524102,362548.8206003849
12.136,-393901.49292830727,272666.8971254929,23393.509926022816,-90321.1601434765,687543.7230310882,344911.4223404488
12.144,-378248.55502626824,293404.2392074248,16494.54650442164,-92396.34490361289,695997.5471545462,326901.9359883284
12.152,-361476.8724135498,313086.48630603706,9457.146953659734,-94145.39881194172,703963.7820451928,308533.382428942
12.16,-343648.7637451465,331650.7444958657,2304.167645281851,-95495.67546334527,711468.5180115207,289795.6874787353
12.168,-324824.85327313375,349034.109566872,-4935.603736182251,-96490.40195461057,718522.5215288242,270714.1256115187
12.176,-305073.42635592085,365178.5257974362,-12240.637801594537,-97108.3745547902,725033.2956908627,251289.2369963596
12.184,-284466.3362911414,380033.00908453006,-19578.151269616203,-97352.9561818664,731101.1395246306,231534.27640353184
12.192,-263073.6095429559,393549.3583619607,-26909.315865522745,-97183.80903908794,736657.270383922,211463.14985043934
12.2,-240972.97883664793,405684.3188063674,-34211.76266116202,-96636.2550317981,741690.075236195,191075.2473405817
12.208,-218240.42715057998,416398.8641964425,-41465.93058475109,-95753.24293007147,746188.075372843,170383.18631610076
12.216,-194955.20780206562,425661.0224680085,-48646.75954327427,-94456.97238450627,750194.5478123501,149409.2053925358
12.224,-171199.35058947274,433443.18687217875,-55713.63489058853,-92911.68738471104,753648.7045740107,128170.09477094836
12.232,-147054.10372117942,439720.5503343874,-62636.57748216794,-90937.51022664533,756588.1655448019,106665.66744853518
12.24,-122602.61682675702,444476.53113814886,-69408.24783784035,-88686.61713392146,758985.2777504794,84931.59575344746
12.248,-97932.56848337097,447698.11944663327,-75994.89371482884,-86061.33234510348,760839.5576195397,62941.365720476766
12.256,-73125.56976720846,449379.67614560167,-82364.3859157408,-83138.14490284606,762132.5665383317,40747.5450488395
12.264,-48268.81232596696,449518.65724438714,-88508.8482005586,-79902.58989063429,762887.8732708844,18361.975269104692
12.272,-23446.409492337047,448118.8563271693,-94399.01124564008,-76366.8291168063,763067.6399159367,-4199.807004977514
12.28,1257.9411366510146,445191.17958115716,-100012.08586367308,-72548.71738808429,762667.8297023826,-26909.507184398593
12.288,25755.298649557324,440748.5942389197,-105327.60538913468,-68501.13481797317,761684.6727440042,-49759.700257339384
12.296,49967.52995388561,434810.80777942424,-110319.89252329845,-64179.27544510243,760128.7861268624,-72725.97560387295
12.304,73811.86076648394,427405.0287048412,-114991.36848125853,-59672.489854332045,757986.646906564,-95794.99320510433
12.312,97205.2163777441,418559.40757388633,-119310.5611323705,-54906.19799144095,755270.1999485528,-118923.84027958344
12.32,120069.63523183689,408309.35026007466,-123257.9861791388,-49932.27301640838,751985.162764751,-142103.5616077908
12.328,142331.3545095683,396694.9110584763,-126826.87382851623,-44870.4367448845,748126.5984012722,-165310.2609762816
12.336,163913.8270191709,383760.56201366073,-130010.39948791926,-39668.26516567249,743660.9366401421,-188512.10517320214
12.344,184743.6646097787,369554.97924135975,-132792.0648397852,-34330.876002702294,738638.9289027699,-211681.34939901126
12.352,204756.2732670995,354133.86706012633,-135178.88441257665,-28899.657993558365,733030.1199298083,-234827.7913927297
12.36,223882.54218300938,337551.8764365358,-137143.97013491712,-23357.28468356327,726808.7355426135,-257904.66742333953
12.368,242062.98146206283,319871.52189664735,-138687.31636268916,-17768.85347356977,720045.3605518452,-280881.99960587115
12.376,259235.90656495022,301158.3824900437,-139803.1405382166,-12138.514701916185,712695.5268504613,-303729.170848348
12.384,275348.3236523779,281480.222198584,-140499.23401375057,-6473.97127091118,704759.4925022594,-326423.84035825526
12.392,290347.1142861146,260909.8081840021,-140759.91946474763,-796.5275408666391,696266.4219835948,-348958.79722105694
12.4,304185.4774993345,239521.71999199918,-140604.80187730375,4861.272644650025,687210.5120207123,-371296.35265283915
12.408,316819.4164351518,217392.69935602773,-140022.35691829844,10462.226370293214,677587.6394761716,-393395.5027334382
12.416,328211.8566834003,194603.06992830496,-139020.7217415127,16069.406145892,667420.8352973348,-415248.39095770614
12.424,338328.4713491481,171235.39121701743,-137600.37105092424,21595.297216696195,656673.1996964159,-436822.2910070037
12.432,347139.9530275079,147372.58456914293,-135761.106123786,26977.389940528716,645404.6818661914,-458089.11296237144
12.44,354620.3415596472,123099.72234828501,-133521.04191408554,32285.080667093385,633629.3234379936,-479028.4806107167
12.448,360746.8495224598,98504.6169330105,-130877.24347823169,37488.512946325645,621309.1155134641,-499604.97236391687
12.456,365508.95393201883,73674.30440400315,-127856.16491086004,42519.768810024136,608478.8713971322,-519793.14260490023
12.464,368893.90564953495,48697.199331305164,-124462.79530726808,47369.3608459599,595159.0108597805,-539585.9153293852
12.472,370894.86915797566,23661.6554847973,-120712.95471720543,52031.76421782893,581336.9446718507,-558938.2719624159
12.48,371510.3794596871,-1344.5933985053637,-116609.30697953582,56507.80865235171,567048.3498978826,-577831.9843004403
12.488,370747.3953665156,-26233.122440866002,-112186.35417113168,60756.17724610683,552285.3400490088,-596257.4169357928
12.496,368612.2307867727,-50915.99766821255,-107459.33306440573,64840.17713708785,537048.427878115,-614183.1255778905
12.504,365120.8075010361,-75306.62616881316,-102422.62880522612,68646.95782407776,521358.34079788753,-631572.6353766992
12.512,360290.73866383993,-99319.04663977586,-97103.32737357901,72200.12197194215,505274.0171398645,-648415.9936630235
12.52,354143.6745842434,-122871.00408815732,-91535.29927989797,75524.95094572946,488752.5719640978,-664702.5162944761
12.528,346712.55321194656,-145878.95435115235,-85716.41437568395,78578.85961099298,471835.609374292,-680396.3711075693
12.536,338025.4651435342,-168264.65678877357,-79690.56118497544,81364.17086310545,454518.8758836634,-695479.8606071224
12.544,328120.3529362457,-189949.820520466,-73462.98733813438,83834.303415692,436840.8138984533,-709938.143631544
12.552,317036.6983030928,-210858.68626247093,-67049.42699505658,86086.55376717601,418836.98818228295,-723749.3656521044
12.56,304819.68843047944,-230920.60927454138,-60479.22443856669,88009.8621986714,400473.0853575688,-736900.128310968
12.568,291519.5551334994,-250064.8979107297,-53773.33761748364,89678.71245209631,381784.8962536724,-749360.6339562804
12.576,277187.49256357993,-268227.7962419242,-46953.11048666492,91030.22585489652,362817.56412242283,-761157.7821092871
12.584,261879.31569990976,-285345.6378146878,-40040.52549158566,92081.82400341271,343531.5485239705,-772237.3203181189
12.592,245654.47241872206,-301360.11748040945,-33073.03013427362,92858.51574339319,324016.19045110204,-782597.1694896627
12.6,228576.60572664722,-316218.8056357186,-26048.81725135509,93335.82996043155,304203.79340656527,-792232.9042920558
12.608,210711.51674639428,-329870.43772720016,-18998.019417087045,93524.0072333681,284191.42445194215,-801126.3382493913
12.616,192123.62411180077,-342270.3383522869,-11938.577841280608,93398.499791719,263942.96755968675,-809261.4808398713
