timestep,xmain,xhigh,xlow
2.92,-64010.38520748641,-231956.8162240106,-1.6669629785737665e6
2.928,-40589.53929587381,-252579.7526034632,-1.6653918198704615e6
2.936,-16780.894675317468,-271407.37010988157,-1.6626414983442002e6
2.944,7319.453194265127,-288362.61200295144,-1.658723446956504e6
2.952,31620.665930269784,-303376.16177147534,-1.653662564157502e6
2.96,56031.24407794723,-316385.46322922467,-1.6474928068861687e6
2.968,80461.64838384687,-327343.32240577275,-1.640206841004637e6
2.976,104797.89122446251,-336214.16218745016,-1.6317871518663773e6
2.984,128965.36551811648,-342969.83254229615,-1.6222675054115106e6
2.992,152867.01051772927,-347595.1040081193,-1.6116557616406227e6
3.0,176418.84345663845,-350090.6121868068,-1.5999573142140745e6
3.008,199530.54562049263,-350470.13684017595,-1.587259301347003e6
3.016,222111.326375091,-348747.12322023814,-1.5734960539591785e6
3.024,244069.8743619026,-344952.1212024576,-1.5587036883826256e6
3.032,265341.50882705924,-339131.3131176546,-1.5429427052678703e6
3.04,285829.9031288327,-331330.4517650704,-1.526183838203397e6
3.048,305471.74199921853,-321616.6318704749,-1.508458956690383e6
3.056,324196.14507244236,-310060.4693192554,-1.4897238309761093e6
3.064,341920.4872999748,-296744.35073162726,-1.4700644380010818e6
3.072,358604.3161829553,-281754.86990968,-1.4494757051560655e6
3.08,374172.11184477806,-265186.79074571084,-1.4279661999720375e6
3.088,388572.2255530888,-247143.4028283412,-1.4055974462749541e6
3.096,401756.06967448385,-227741.3265639533,-1.3823371917655475e6
3.104,413686.04793385713,-207093.18095927674,-1.358218234248582e6
3.112,424306.2267747763,-185322.33985098093,-1.3332415645776526e6
3.12,433583.79500004667,-162554.86035535074,-1.3074458987105987e6
3.128,441497.5347313669,-138922.68919759226,-1.2808471766889235e6
3.136,448008.98017027037,-114563.70744952557,-1.2534931095055887e6
3.144,453111.2023959272,-89610.33890108194,-1.2253411021000498e6
3.152,456792.7249404951,-64204.965852386435,-1.1964317006244296e6
3.16,459049.93286501564,-38488.65953714094,-1.1667897030627322e6
3.168,459866.9668302429,-12604.115166122585,-1.1364282137419207e6
3.176,459253.46539468376,13311.024961550727,-1.1053823969159531e6
3.184,457213.58318206575,39120.99996655476,-1.073653102094731e6
3.192,453765.59871688765,64685.794702622254,-1.0412368906923626e6
3.2,448919.05313253315,89874.48761388345,-1.0081601647627703e6
3.208,442699.0783344128,114554.65684302393,-974475.1691300649
3.216,435138.86820131144,138598.20025486167,-940153.5170750539
3.224,426271.89509913913,161879.45305594263,-905223.8743838693
3.232,416140.7506193277,184285.717499934,-869706.8291436005
3.24,404778.333683078,205703.844699369,-833613.3652760824
3.248,392241.61915841093,226032.5910625644,-796973.5177043376
3.256,378565.76317524357,245166.36621531504,-759824.7627380126
3.264,363812.6613960301,263011.02672631637,-722133.6247905868
3.272,348040.77293427865,279487.5865992221,-683940.9788875409
3.28,331303.93849389715,294512.9043157587,-645251.2584333195
