timestep,xmain,pmain,xhigh,phigh,xlow,plow
28.088,6126.608251265946,-6083.52247466128,407.14265337133907,644.747234682503,17351.62597130342,-9419.629310381228
28.096,5781.857853258782,-6410.845704636054,453.82871746593446,623.8872451092793,17124.253242562605,-9853.085839072886
28.104,5419.697266531749,-6717.342032530159,504.6290755421417,672.4093353194376,16853.665884124362,-10271.237638144172
28.112,5041.24643774913,-7000.919313223524,564.9610489348388,650.1197408392409,16602.206570194194,-10677.25177332663
28.12,4646.554325349016,-7261.06591543662,610.1123544067716,618.5851488048228,16332.368203692247,-11078.694108904454
28.128,4237.984385240016,-7498.122389223423,647.5344853618274,529.7107327135026,16064.88580891467,-11480.319853141948
28.136,3817.509668782892,-7710.107200639837,690.3245219184256,525.5704649032359,15783.644723506983,-11870.019725497816
28.144,3386.309396198447,-7896.929668826605,730.4591238907554,497.9198545474122,15468.526279142801,-12254.89839694094
28.152,2945.219387218476,-8058.1681392331175,762.4189174871519,422.77876261275156,15146.777598960714,-12614.250150682803
28.16,2495.209761750146,-8193.245906659258,782.8078379690776,381.2471489318491,14831.476003835378,-12983.173037756176
28.168,2038.8186016739498,-8301.590626923986,812.3607000890889,274.0826261652284,14521.034384530563,-13326.48193431321
28.176,1577.7750364217914,-8383.039461111966,841.8581802133338,269.18962798600404,14155.244487279806,-13676.745871742443
28.184,1112.5874149756266,-8437.928895763862,859.818875147716,207.8889493138126,13779.998220664238,-14004.768023266739
28.192,645.7324146158426,-8465.367466367723,879.5846403150184,118.8714158474755,13407.075535171232,-14315.121598135955
28.2,177.8206380707541,-8464.98801812355,876.0449614229103,106.12179529235601,13052.002348755988,-14620.047360397055
28.208,-289.1304932435549,-8437.84704137195,880.9739976169027,54.03943502746289,12694.202244286475,-14916.697990349963
28.216,-754.5305039878309,-8384.292117234452,885.2553064459241,25.251938125957377,12326.471171208514,-15205.81758177101
28.224,-1219.0388823128624,-8304.499483974041,860.111057331775,19.52569099148604,12321.168215191012,-15386.38480396296
28.232,-1677.501792550472,-8199.331701037876,838.0705146081226,223.42648156946078,12036.57184789916,-15688.223198838074
28.24,-2126.916898297618,-8066.680853081755,860.9398561713658,181.33310168004084,11655.293169045888,-15951.707637291056
28.248,-2568.2492128826607,-7908.538025733484,881.7606076733153,154.02389500888984,11264.138423658265,-16207.305330993988
28.256,-3001.0405494431698,-7725.597868029772,883.1305051025173,66.92335217070335,10837.206416276165,-16453.580446573436
28.264,-3423.200957581481,-7518.562145921904,875.3268132306968,10.116514403824018,10398.214361474465,-16695.3572072152
28.272,-3834.0211368088135,-7286.576426297453,759.8267829049046,-31.393428815406907,9839.914124487144,-16970.055721005912
28.28,-4229.925149937302,-7033.5074672743785,758.6358945007603,-88.17745459200361,9447.996134846857,-17178.530701282132
28.288,-4612.123704443641,-6758.60240877745,747.8106781068906,-179.55362448581135,8998.67001706491,-17373.60670705314
