timestep,xmain,pmain,xhigh,phigh,xlow,plow
18.592,1.0201194035617141e6,322008.3342301355,234056.73989849945,204008.61264435665,-411625.3046934151,-1.3833370152659975e6
18.6,1.0363567362999999e6,265140.18915759376,248757.43468471186,185777.2315283006,-446249.3083171507,-1.3725297996091049e6
18.608,1.0494255205886445e6,207461.91519059316,262041.38149058732,166482.99797554218,-480577.6737902266,-1.3608613244652445e6
18.616,1.0592863210674154e6,149148.95876263228,273820.6069429538,146246.23425600864,-514602.0468565072,-1.3483320234268338e6
18.624,1.0659107913108554e6,90380.47108950558,284056.8786665314,125233.06445074371,-548325.5954924884,-1.334957860210262e6
18.632,1.0692778837764538e6,31336.3746422204,292675.4631371629,103460.15222175543,-581697.4282220716,-1.3207359698286029e6
18.64,1.0693764212906084e6,-27803.261021043923,299638.2980719133,81162.64584278227,-614718.4469074049,-1.3056857686831518e6
18.648,1.0662049116882414e6,-86858.69552428689,304888.5420491815,58374.42520932598,-647341.3971745179,-1.2898061410525679e6
18.656,1.0597751650701505e6,-145648.99016164205,308406.52017292054,35244.895592492096,-679543.8994361366,-1.2731213123582052e6
18.664,1.0501066086255065e6,-203993.47141280342,310177.2183074502,11898.510430724,-711300.812531305,-1.2556331612280766e6
18.672,1.037227485575351e6,-261715.00173276674,310174.38841214887,-11522.024061078851,-742615.5638508281,-1.2373400732124015e6
18.68,1.0211786966605275e6,-318635.7875400501,308417.870864363,-34865.87803108467,-773446.4747424301,-1.2182732434674902e6
18.688,1.002008941516837e6,-374583.1667924512,304898.39985167416,-58009.531119211904,-803830.1014534087,-1.1984384014450824e6
18.696,979777.2113166752,-429385.7273940184,299644.4404498806,-80768.40415845928,-833668.831005129,-1.1778369093451446e6
18.704,954549.4573469752,-482875.55912384845,292704.14447767776,-103070.22540716623,-862997.7511959126,-1.1564923776737112e6
18.712,926406.5453504942,-534889.9266501854,284099.40905263845,-124818.16585045499,-891777.8873602065,-1.1344277417654493e6
18.72,895430.1045615388,-585268.9679642693,273886.181647069,-145852.23961551485,-919994.5156482152,-1.111645019661953e6
18.728,861717.2774195096,-633859.3861507013,262106.81785786897,-166033.76551637863,-947627.9036015604,-1.0881581003396756e6
18.736,825370.128854191,-680511.8437126185,248849.3161773205,-185311.6138560081,-974676.075147336,-1.0639938292035176e6
18.744,786500.96628185,-725084.7545669585,234171.88036048153,-203567.6069317038,-1.0010731863162015e6,-1.0391487523535244e6
18.752,745227.8394282265,-767442.3209557707,218139.08168419957,-220620.4298614557,-1.0268585346226015e6,-1.0136578325002561e6
18.76,701676.4580161655,-807453.2871728874,200894.90867882318,-236420.82864928423,-1.0520102663686322e6,-987517.7361573748
18.768,655982.6377284045,-844996.897737532,182509.9655676182,-250901.78685984254,-1.0764902955267772e6,-960755.5422976069
18.776,608282.0617451377,-879957.3067721971,163092.94237491844,-263916.2824119298,-1.1002642659668447e6,-933385.901587809
18.784,558723.4022979435,-912228.4405155077,142740.03691057113,-275522.75023441,-1.123385547408502e6,-905435.0868092261
18.792,507455.663047592,-941711.550856151,121573.88946066776,-285492.3974306306,-1.145753285857395e6,-876907.3947034761
18.8,454636.79878767685,-968316.5303027269,99715.47554832522,-293875.78631131677,-1.1673916260510448e6,-847827.0494461454
18.808,400427.82777114905,-991962.0577161268,77283.96853426665,-300490.31927955255,-1.1883076929754324e6,-818208.9989330946
18.816,344996.60934495175,-1.012574749901675e6,54422.579522746375,-305452.3662439028,-1.2084689994533118e6,-788081.2560298214
18.824,288509.91172084754,-1.0300937420125299e6,31268.356239269197,-308642.5442341317,-1.2278756983100614e6,-757443.8110841888
