timestep,xmain,pmain,xhigh,phigh,xlow,plow
81.368,4.201348630169054e6,-970505.480336039,-16756.483431433917,-35510.21749216232,-433685.93372941663,1.0726536554228207e6
81.376,4.141276459334225e6,-1.2018388786014426e6,-19411.42779266027,-34821.21144191561,-406606.4985341729,1.082577118163698e6
81.384,4.068509136855011e6,-1.42959158273857e6,-21996.662133508933,-33933.45872377116,-379264.3390281893,1.0917065169845398e6
81.392,3.983264358379661e6,-1.6530653447633067e6,-24512.159762005325,-33031.23910221977,-351714.95656816877,1.1000554586474227e6
81.4,3.885797448045268e6,-1.8715746042737165e6,-26952.339203584055,-32000.724875429845,-323958.4040915283,1.1076412593061782e6
81.408,3.7764012078751046e6,-2.0844487863015323e6,-29329.45335570553,-30913.64287421227,-296008.5881723792,1.1144317837418623e6
81.416,3.65540552043746e6,-2.291034482129356e6,-31614.272213347653,-29724.42140213976,-267916.06243795267,1.1204381492961787e6
81.424,3.523175866701364e6,-2.4906966119256737e6,-33807.7582522913,-28410.23582965378,-239694.08004850327,1.1256478983624321e6
81.432,3.3801119666879047e6,-2.682821753258124e6,-35895.55774179462,-26990.19903717294,-211340.6472663838,1.130070510234389e6
81.44,3.2266472603389323e6,-2.8668187475763885e6,-37883.048499879435,-25532.76346463728,-182855.67879841253,1.1337097140540753e6
81.448,3.0632466496784487e6,-3.0421213659557886e6,-39748.10896958212,-23950.375078056175,-154321.75139353256,1.1365715792461934e6
81.456,2.890406411679921e6,-3.208189467670956e6,-41498.59805281295,-22318.20805420452,-125739.8104151653,1.138643029203958e6
81.464,2.708650727096113e6,-3.3645114381578793e6,-43116.38802186634,-20594.125813262697,-97088.94982489257,1.1399499771174407e6
81.472,2.518532762901935e6,-3.510604851374308e6,-44597.95277869258,-18797.584697422815,-68445.65404744846,1.1404782459925648e6
81.48,2.320630099835838e6,-3.646018398981048e6,-45931.576417461816,-16951.38365539407,-39779.743368572774,1.1402381024881366e6
81.488,2.115545292894355e6,-3.770333254735623e6,-47138.26388670386,-15093.762750875307,-11139.173967768973,1.1392212040686929e6
81.496,1.9039026469018217e6,-3.8831646949054236e6,-48205.466496626344,-13182.477247371053,17463.65329131118,1.1374426069007055e6
81.504,1.6863472988011194e6,-3.984162420094907e6,-49125.116025331845,-11223.283209881512,46028.11768919141,1.1349114951484918e6
81.512,1.4635418570338567e6,-4.073013000848811e6,-49890.02394877421,-9217.22592643543,74515.94592666696,1.131632822300043e6
