timestamp,value1,value2
456.976,1.7125982573943201,-0.06001493955598049
456.984,1.6385102304259767,-0.14884727348472196
456.992,1.745996053735927,-0.2385886603652284
457.0,1.6988228997227202,-0.33246609670263255
457.008,1.6982414266270138,-0.4224981579084547
457.016,1.6924012545647722,-0.511675494423098
457.024,1.6270756092805398,-0.597815263407245
457.032,1.4448265063205474,-0.6764491424990327
457.04,1.2835868241867434,-0.7481322902987327
457.048,1.316121461854397,-0.819167343464215
457.056,1.2104581180546943,-0.8831861813448024
457.064,1.2221852036356897,-0.9449589649131933
457.072,1.1402227000298875,-1.0065353282481313
457.08,0.9636408156975825,-1.0577576372283803
457.088,1.0004615267279144,-1.1056008993568973
457.096,0.9408687374979705,-1.154948325857523
457.104,0.7560440841450519,-1.1953624998681947
457.112,0.732048039749066,-1.2330068383602306
457.12,0.7102251097068595,-1.2663105738930123
457.128,0.6134695552371768,-1.2970674604297967
457.136,0.5208805433592115,-1.3248715818206485
457.144,0.39391289368085836,-1.3453858554597586
457.152,0.3765683155289333,-1.363156282441972
457.16,0.3695837234945401,-1.3773031990640974
457.168,0.2247182081734331,-1.3883102741551945
457.176,0.23401180290823784,-1.3932490372447603
457.184,0.22202355648208708,-1.4011029454660122
457.192,0.08280104950970135,-1.4050859219389429
457.2,0.13691219103255148,-1.4058146124082649
457.208,0.11499424428042267,-1.4072389013740803
457.216,-0.03307039511358779,-1.4025987774442954
457.224,-0.17041100310222945,-1.3921231684848945
457.232,-0.25295151524675347,-1.3767843217586706
457.24,-0.3310962604687838,-1.3554438019706447
457.248,-0.148091579375634,-1.3397029203131543
457.256,-0.17409547952950952,-1.325414914866738
457.264,-0.19430071302673974,-1.3121964277024096
457.272,-0.19713567702959653,-1.3005656075670728
457.28,-0.3773409697461496,-1.2820844058212186
457.288,-0.4829471900620633,-1.2546974250773824
457.296,-0.6157117190509577,-1.2208397479547166
457.304,-0.6001334143452463,-1.1834128620717816
457.312,-0.6610663988887078,-1.1446865118332
457.32,-0.7025604240313121,-1.104812736485094
457.328,-0.8641917090334201,-1.0593684257064642
